Year,Geography,Pattype,Category,Cat_value,Dxgroup,Count,Total,Percent
2021,Statewide,ED Visit,Funding Source,Other Government,Co-Occuring Disorders,5193,232024,0.022381305
2021,Statewide,ED Visit,Funding Source,Other Government,Mental Health Disorders,17502,232024,0.075431852
2021,Statewide,ED Visit,Funding Source,Other Government,Substance Use Disorders,12143,232024,0.052335103
2021,Statewide,ED Visit,Funding Source,Private Health Insurance,All Other Diagnoses,2742735,3112455,0.88121274
2021,Statewide,ED Visit,Funding Source,Private Health Insurance,Co-Occuring Disorders,35521,3112455,0.011412535
2021,Statewide,ED Visit,Funding Source,Private Health Insurance,Mental Health Disorders,246237,3112455,0.079113433
2021,Statewide,ED Visit,Funding Source,Private Health Insurance,Substance Use Disorders,87962,3112455,0.028261292
2021,Statewide,ED Visit,Funding Source,Self-Pay or Uninsured,All Other Diagnoses,541756,647075,0.837238342
2021,Statewide,ED Visit,Funding Source,Self-Pay or Uninsured,Co-Occuring Disorders,13188,647075,0.020380945
2021,Statewide,ED Visit,Funding Source,Self-Pay or Uninsured,Mental Health Disorders,37394,647075,0.057789283
2021,Statewide,ED Visit,Funding Source,Self-Pay or Uninsured,Substance Use Disorders,54737,647075,0.084591431
2021,Statewide,ED Visit,Race,American Indian/Alaska Native,All Other Diagnoses,30795,38039,0.809563869
2021,Statewide,ED Visit,Race,American Indian/Alaska Native,Co-Occuring Disorders,1053,38039,0.027682116
2021,Statewide,ED Visit,Race,American Indian/Alaska Native,Mental Health Disorders,3540,38039,0.093062383
2021,Statewide,ED Visit,Race,American Indian/Alaska Native,Substance Use Disorders,2651,38039,0.069691632
2021,Statewide,ED Visit,Race,Asian,All Other Diagnoses,571007,626178,0.911892465
2021,Statewide,ED Visit,Race,Asian,Co-Occuring Disorders,4173,626178,0.006664239
2021,Statewide,ED Visit,Race,Asian,Mental Health Disorders,40979,626178,0.065443053
2021,Statewide,ED Visit,Race,Asian,Substance Use Disorders,10019,626178,0.016000243
2021,Statewide,ED Visit,Race,Black,All Other Diagnoses,961376,1158007,0.830198781
2021,Statewide,ED Visit,Race,Black,Co-Occuring Disorders,29588,1158007,0.025550796
2021,Statewide,ED Visit,Race,Black,Mental Health Disorders,107526,1158007,0.092854361
2021,Statewide,ED Visit,Race,Black,Substance Use Disorders,59517,1158007,0.051396062
2021,Statewide,ED Visit,Race,Hispanic,All Other Diagnoses,4037273,4542596,0.888758983
2021,Statewide,ED Visit,Race,Hispanic,Co-Occuring Disorders,56822,4542596,0.012508707
2021,Statewide,ED Visit,Race,Hispanic,Mental Health Disorders,282645,4542596,0.06222103
2021,Statewide,ED Visit,Race,Hispanic,Substance Use Disorders,165856,4542596,0.036511281
2021,Statewide,ED Visit,Race,Multiracial,All Other Diagnoses,86600,106739,0.81132482
2021,Statewide,ED Visit,Race,Multiracial,Co-Occuring Disorders,3049,106739,0.028565004
2021,Statewide,ED Visit,Race,Multiracial,Mental Health Disorders,11319,106739,0.106043714
2021,Statewide,ED Visit,Race,Multiracial,Substance Use Disorders,5771,106739,0.054066461
2021,Statewide,ED Visit,Race,Native Hawaiian or Other Pacific Islande,All Other Diagnoses,51258,56851,0.901620024
2021,Statewide,ED Visit,Race,Native Hawaiian or Other Pacific Islande,Co-Occuring Disorders,633,56851,0.011134369
2021,Statewide,ED Visit,Race,Native Hawaiian or Other Pacific Islande,Mental Health Disorders,3598,56851,0.063288245
2021,Statewide,ED Visit,Race,Native Hawaiian or Other Pacific Islande,Substance Use Disorders,1362,56851,0.023957362
2021,Statewide,ED Visit,Race,Other Race,All Other Diagnoses,443237,507706,0.873019031
2021,Statewide,ED Visit,Race,Other Race,Co-Occuring Disorders,8365,507706,0.016476071
2021,Statewide,ED Visit,Race,Other Race,Mental Health Disorders,35724,507706,0.070363557
2021,Statewide,ED Visit,Race,Other Race,Substance Use Disorders,20380,507706,0.040141342
2021,Statewide,ED Visit,Race,Unknown/Invalid,All Other Diagnoses,98952,115616,0.8558677
2021,Statewide,ED Visit,Race,Unknown/Invalid,Co-Occuring Disorders,2157,115616,0.018656587
2021,Statewide,ED Visit,Race,Unknown/Invalid,Mental Health Disorders,8401,115616,0.072662953
2021,Statewide,ED Visit,Race,Unknown/Invalid,Substance Use Disorders,6106,115616,0.05281276
2021,Statewide,ED Visit,Race,White,All Other Diagnoses,3086091,3756118,0.821617159
2021,Statewide,ED Visit,Race,White,Co-Occuring Disorders,88921,3756118,0.023673644
2021,Statewide,ED Visit,Race,White,Mental Health Disorders,388195,3756118,0.103350055
2021,Statewide,ED Visit,Race,White,Substance Use Disorders,192911,3756118,0.051359143
2021,Statewide,ED Visit,Age,0 to 18,All Other Diagnoses,1890492,1993266,0.948439395
2021,Statewide,ED Visit,Age,0 to 18,Co-Occuring Disorders,6878,1993266,0.003450618
2021,Statewide,ED Visit,Age,0 to 18,Mental Health Disorders,79630,1993266,0.03994951
2021,Statewide,ED Visit,Age,0 to 18,Substance Use Disorders,16266,1993266,0.008160476
2021,Statewide,ED Visit,Age,19 to 39,All Other Diagnoses,3009456,3647966,0.824968215
2021,Statewide,ED Visit,Age,19 to 39,Co-Occuring Disorders,97588,3647966,0.026751346
2021,Statewide,ED Visit,Age,19 to 39,Mental Health Disorders,321336,3647966,0.088086347
2021,Statewide,ED Visit,Age,19 to 39,Substance Use Disorders,219586,3647966,0.060194092
2021,Statewide,ED Visit,Age,40 to 59,All Other Diagnoses,2239348,2719939,0.82330817
